Smartphone Name,Price (Rs.),Average Rating,Number of Ratings,Memory Variant,Display Features,Camera Features,Battery Features
"REDMI 12 (Jade Black, 128 GB)",10590,4.3,101287,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 8MP + 2MP | 8MP Front Camera,5000 mAh Battery
"realme P1 Pro 5G (Phoenix Red, 128 GB)",21999,4.5,3923,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Battery
"realme P1 Pro 5G (Parrot Blue, 128 GB)",21999,4.5,3923,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,5000 mAh Battery
"realme 12 Pro 5G (Submarine Blue, 256 GB)",24999,4.4,3293,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 32MP | 16MP Front Camera,5000 mAh Battery
"realme P1 5G (Peacock Green, 128 GB)",16999,4.4,5602,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
"realme 12 Pro 5G (Navigator Beige, 128 GB)",25999,4.4,16526,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 32MP | 16MP Front Camera,5000 mAh Battery
"Motorola g64 5G (Ice Lilac, 128 GB)",13999,4.2,8539,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery
"realme 12 Pro 5G (Navigator Beige, 256 GB)",24999,4.4,3293,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 32MP | 16MP Front Camera,5000 mAh Battery
"realme 12 Pro 5G (Navigator Beige, 256 GB)",26999,4.4,16526,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 32MP | 16MP Front Camera,5000 mAh Battery
"realme 12 Pro 5G (Submarine Blue, 256 GB)",26999,4.4,16526,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 32MP | 16MP Front Camera,5000 mAh Battery
"REDMI 12 5G (Moonstone Silver, 256 GB)",13999,4.2,17319,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"REDMI 12 5G (Pastel Blue, 256 GB)",13999,4.2,17319,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"REDMI 13C 5G (Startrail Silver, 256 GB)",13999,4.2,2828,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"realme 12 Pro 5G (Submarine Blue, 128 GB)",25999,4.4,16526,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 32MP | 16MP Front Camera,5000 mAh Battery
"vivo T3 5G (Cosmic Blue, 256 GB)",21999,4.4,25410,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
"REDMI 13C 5G (Starlight Black, 256 GB)",13999,4.2,2828,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"POCO X6 Neo 5G (Martian Orange, 256 GB)",15999,4.1,3095,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,108MP + 2MP | 16MP Front Camera,5000 mAh Battery
"vivo T3 5G (Crystal Flake, 256 GB)",21999,4.4,25410,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
"REDMI 12 5G (Jade Black, 128 GB)",12499,4.2,32393,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)",14999,4.2,8274,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP + 2MP | 13MP Front Camera,6000 mAh Battery
"vivo T3 5G (Crystal Flake, 128 GB)",19999,4.4,25410,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
"vivo T3 5G (Cosmic Blue, 128 GB)",19999,4.4,25410,8 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
"OnePlus Nord CE4 (Dark Chrome, 256 GB)",26670,4.4,6000,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5500 mAh Battery
"OnePlus Nord CE4 (Celadon Marble, 256 GB)",26670,4.4,6000,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5500 mAh Battery
"OnePlus Nord CE4 (Celadon Marble, 128 GB)",24576,4.4,6000,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5500 mAh Battery
"realme C53 (Champion Black, 64 GB)",10999,4.4,125217,6 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery
"OnePlus Nord CE4 (Dark Chrome, 128 GB)",24849,4.4,6000,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera,5500 mAh Battery
"vivo T2x 5G (Glimmer Black, 128 GB)",17000,4.4,418965,6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)",22999,4.5,8774,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery
"realme C53 (Champion Gold, 64 GB)",10999,4.4,125217,6 GB RAM | 64 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery
"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)",14999,4.2,8274,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP + 2MP | 13MP Front Camera,6000 mAh Battery
"realme C53 (Champion Black, 128 GB)",11999,4.4,125217,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery
"realme C53 (Champion Gold, 128 GB)",11999,4.4,125217,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.12 cm (6.74 inch) HD Display,108MP + 2MP | 8MP Front Camera,5000 mAh Battery
"realme C65 5G (Feather Green, 128 GB)",12499,4.3,2126,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery
"POCO X6 Neo 5G (Horizon Blue, 256 GB)",15999,4.1,3095,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,108MP + 2MP | 16MP Front Camera,5000 mAh Battery
"REDMI 13C 5G (Startrail Green, 256 GB)",13999,4.2,2828,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"vivo T2x 5G (Glimmer Black, 128 GB)",14999,4.3,71681,8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"realme C65 5G (Glowing Black, 128 GB)",12499,4.3,2126,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery
"vivo T2x 5G (Marine Blue, 128 GB)",12999,4.4,418965,6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"vivo T2x 5G (Aurora Gold, 128 GB)",12999,4.4,418965,6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"vivo T2x 5G (Sunstone Orange, 128 GB)",12999,4.4,418965,6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"vivo T2x 5G (Black Gladiator, 128 GB)",12999,4.4,418965,6 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"vivo T2x 5G (Marine Blue, 128 GB)",14999,4.3,71681,8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"vivo T2x 5G (Aurora Gold, 128 GB)",14999,4.3,71681,8 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"vivo T2x 5G (Black Gladiator, 128 GB)",11999,4.4,176019,4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"vivo T2x 5G (Aurora Gold, 128 GB)",11999,4.4,176019,4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"vivo T2x 5G (Sunstone Orange, 128 GB)",11999,4.4,176019,4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"vivo T2x 5G (Marine Blue, 128 GB)",11999,4.4,176019,4 GB RAM | 128 GB ROM,16.71 cm (6.58 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"realme 12x 5G (Woodland Green, 128 GB)",11999,4.0,4735,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"SAMSUNG Galaxy F15 5G (Groovy Violet, 128 GB)",14499,4.2,16866,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,6000 mAh Lithium ion Battery
"realme 12x 5G (Twilight Purple, 128 GB)",11999,4.0,4735,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"Nothing Phone (2a) 5G (White, 256 GB)",27999,4.4,4120,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery
"Motorola Edge 40 Neo (Peach Fuzz, 128 GB)",22999,4.3,49736,8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery
"Nothing Phone (2a) 5G (Black, 256 GB)",27999,4.4,4120,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery
"Nothing Phone (2a) 5G (Special Edition, 256 GB)",27999,4.4,4120,12 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery
"REDMI Note 13 5G (Arctic White, 256 GB)",19678,4.1,1196,12 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,108MP Rear Camera,5000 mAh Battery
"Nothing Phone (2a) 5G (White, 256 GB)",25999,4.4,32007,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery
"Nothing Phone (2a) 5G (Black, 256 GB)",25999,4.4,32007,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery
"OnePlus Nord 3 5G (Misty Green, 128 GB)",22900,4.3,8648,8 GB RAM | 128 GB ROM,17.12 cm (6.74 inch) Display,50MP Rear Camera,5000 mAh Battery
"REDMI Note 13 5G (Arctic White, 128 GB)",16625,4.2,7004,6 GB RAM | 128 GB ROM,16.94 cm (6.67 inch) Display,108MP Rear Camera,5000 mAh Battery
"Nothing Phone (2a) 5G (White, 128 GB)",23999,4.4,32007,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery
"Nothing Phone (2a) 5G (Black, 128 GB)",23999,4.4,32007,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP (OIS) + 50MP | 32MP Front Camera,5000 mAh Battery
"REDMI 12 5G (Moonstone Silver, 256 GB)",14195,4.2,17319,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"realme C65 5G (Feather Green, 64 GB)",10499,4.1,1071,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,5000 mAh Battery
"POCO X6 5G (Snowstorm White, 256 GB)",19999,4.3,2478,12 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Display,64MP + 8MP + 2MP | 16MP Front Camera,5100 mAh Battery
